manufacturer id,manufacturer name,slug,generics count,brand names count
257,ZAS Corporation,zas-corporation-257,31,38
98,Zenith Pharmaceuticals Ltd.,zenith-pharmaceuticals-ltd-98,98,146
79,Ziska Pharmaceuticals Ltd.,ziska-pharmaceuticals-ltd-79,147,264
34,Hamdard Bangladesh,hamdard-bangladesh-34,,
301,Dabur India Limited,dabur-india-limited-301,,
315,HLL Lifecare Limited,hll-lifecare-limited-315,,
320,Gulf pharmaceutical industries,gulf-pharmaceutical-industries-320,,
218,Alpha Therapeutic Corporation,alpha-therapeutic-corporation-218,,
150,Octapharma Pharmazeutica,octapharma-pharmazeutica-150,,
149,Grifols Biologicals LLC,grifols-biologicals-llc-149,,
162,Cipla Limited,cipla-limited-162,,
198,"Allergan, Inc.",allergan-inc-198,,
297,"Lyomark Pharma, Germany",lyomark-pharma-germany-297,,
298,"Hamlen Pharmaceuticals, Germany",hamlen-pharmaceuticals-germany-298,,
220,Fresenius Kabi,fresenius-kabi-220,,
284,Organon,organon-284,,
232,"Gedeon Richter, Hungary",gedeon-richter-hungary-232,,
308,Boehringer Ingelheim,boehringer-ingelheim-308,,
293,AstraZeneca pharmaceuticals,astrazeneca-pharmaceuticals-293,,
329,ADM Protexin Ltd,adm-protexin-ltd-329,,
222,Nippon Kayaku Ltd.,nippon-kayaku-ltd-222,,
194,Merck,merck-194,,
182,Lundbeck Pharmaceuticals Ltd.,lundbeck-pharmaceuticals-ltd-182,,
321,"Xellia Pharmaceuticals, Denmark",xellia-pharmaceuticals-denmark-321,,
294,Serum Institute of India,serum-institute-of-india-294,,
219,CSL Behring,csl-behring-219,,
181,Bristol Myers Squibb,bristol-myers-squibb-181,,
334,AqVida GmbH,aqvida-gmbh-334,,
324,"Laboratoires Panpharma, France",laboratoires-panpharma-france-324,,
325,"Rotexmedica GmbH, Germany",rotexmedica-gmbh-germany-325,,
286,Valneva,valneva-286,,
228,Chairon SPA,chairon-spa-228,,
210,Stiefel Laboratories Ltd.,stiefel-laboratories-ltd-210,,
238,Janssen-Cilag,janssen-cilag-238,,
233,Abbott Laboratories,abbott-laboratories-233,,
302,"C.B. Fleet Company, USA",cb-fleet-company-usa-302,,
283,Baxter,baxter-283,,
141,Pharmachemie BV,pharmachemie-bv-141,,
235,"Hexal AG, Germany",hexal-ag-germany-235,,
214,Vifor International Ltd.,vifor-international-ltd-214,,
309,Ferring Pharmaceuticals Ltd.,ferring-pharmaceuticals-ltd-309,,
282,Genzyme Corporation,genzyme-corporation-282,,
151,Leo Pharmaceuticals Ltd.,leo-pharmaceuticals-ltd-151,,
285,MSD,msd-285,,
209,Nicholas,nicholas-209,,
314,Piramal Enterprises Ltd.,piramal-enterprises-ltd-314,,
311,Eisai Pharmaceutical company,eisai-pharmaceutical-company-311,,
300,"Kedrion Biopharma, Italy",kedrion-biopharma-italy-300,,
312,Johnson & Johnson,johnson-johnson-312,,
319,Efroze Chemical Industries Ltd,efroze-chemical-industries-ltd-319,,
223,"Excella, Germany",excella-germany-223,,
185,EGIS Pharmaceuticals Ltd.,egis-pharmaceuticals-ltd-185,,
323,S.A. Alcon-Couvreur N.V.,sa-alcon-couvreur-nv-323,,
333,MERZ Pharma GmbH & Co.,merz-pharma-gmbh-co-333,,
164,Kyowa Hakko Kogyo,kyowa-hakko-kogyo-164,,
140,Choongwae Pharma Corporation,choongwae-pharma-corporation-140,,
291,"JEO MED, Turkey",jeo-med-turkey-291,,
281,Biotest,biotest-281,,
226,Gosun Pharmaceutical Ltd.,gosun-pharmaceutical-ltd-226,,
328,Mylan Pharmaceutical industry company,mylan-pharmaceutical-industry-company-328,,
299,"Piramal Critical Care, USA",piramal-critical-care-usa-299,,
317,"Orion Corporation, Finland",orion-corporation-finland-317,,
322,"Adienne Pharma, Switzerland",adienne-pharma-switzerland-322,,
239,"Laboratorio Varifarma, Argentina",laboratorio-varifarma-argentina-239,,
310,Chepla Pharm-Gmbh,chepla-pharm-gmbh-310,,
326,ACM laboratoire dermatologique,acm-laboratoire-dermatologique-326,,
